Name,Department,Rating,# of Ratings,% Would Take Again,Difficulty,Link to Page
John Gisla,Engineering,4.7,12 ratings,N/A,1.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=482404
Vaidehi Ramanathan,Linguistics,3.5,17 ratings,50%,1.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=482882
Sergei Nuzhdin,Biology,2.4,11 ratings,N/A,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=484600
Joe Romano,English,4.3,10 ratings,N/A,3.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=484987
Pieter Stroeve,Engineering,3,36 ratings,0%,4.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=485601
Ming-Cheng Lo,Sociology,3.7,32 ratings,84%,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=486774
Jay Trang,Engineering,0,0 ratings,N/A,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=486783
Ralph Drayton,History,2,19 ratings,N/A,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=488777
Frank Loge,Engineering,3,21 ratings,100%,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=489664
Alysia Garrison,English,4.3,21 ratings,N/A,2.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=494551
Michael Glanzberg,Philosophy,3.9,38 ratings,N/A,2.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=495099
Scott Shershow,English,3.8,32 ratings,100%,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=495747
Elizabeth Zechmeister,Political Science,3.7,10 ratings,N/A,3.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=496035
Amit Kanvinde,Engineering,4.5,29 ratings,0%,2.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=496078
Nicholas Luker,English,4.5,2 ratings,N/A,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=497048
Vanessa Rapatz,English,4.5,23 ratings,N/A,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=499773
Henry Fastenau,Physical Education,4.3,3 ratings,N/A,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=507748
Donald Strong,Biological Sciences,3,68 ratings,28%,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=508074
Mark Schwartz,Science,3.8,62 ratings,60%,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=510626
Mohamed Hafez,Engineering,3.4,22 ratings,50%,4.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=512996
Julian Alston,Agriculture,3.1,12 ratings,34%,3.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=515707
Martine Quinzii,Economics,2.5,27 ratings,100%,3.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=517274
Annabel Lee,Languages,4.7,18 ratings,N/A,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=518734
Ian Faloona,Physical Sciences,4,26 ratings,100%,3.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=519136
Bruce Gates,Chemical Engineering,3,21 ratings,0%,3.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=522694
Xiaoling Shu,Sociology,3.4,27 ratings,50%,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=524902
Tamara Greasby,Statistics,2.7,27 ratings,N/A,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=525108
Yetman Michelle,Management,4.3,3 ratings,N/A,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=527879
Ryan Lingsweiler,Communication,2.5,12 ratings,N/A,3.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=528163
Hannah Sigur,Art History,3.2,15 ratings,50%,3.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=528437
Eric O'Brien,English,4,26 ratings,N/A,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=528478
Alessa Johns,English,3.8,33 ratings,67%,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=528879
Steven Shreffrin,Economics,2.9,8 ratings,N/A,3.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=529250
Robert Bell,Communication,3.4,30 ratings,56%,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=529322
Zhiyuan Li,Economics,2.9,7 ratings,N/A,3.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=529931
Jeanette Pucheu,Languages,4.8,11 ratings,N/A,1.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=532864
Larry Bogad,Theater,3.1,37 ratings,22%,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=534240
Rachael Goodhue,Agriculture,2.6,18 ratings,0%,3.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=535175
James Rustad,Geology,4.4,10 ratings,N/A,1.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=535606
Ray Carter,Chemistry,1.6,17 ratings,N/A,3.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=535747
Cynthia Degnan,English,3.8,9 ratings,N/A,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=535831
Rune Christensen,English,4.1,8 ratings,N/A,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=536135
Jan Hopmans,Physical Sciences,3.5,4 ratings,100%,4.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=536646
Li-Fen Lin,Chinese,4.6,5 ratings,100%,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=536870
Della Davidson,Theater,4.2,7 ratings,N/A,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=537759
Jacob Whittaker,History,2.9,6 ratings,N/A,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=538115
Tamara Swaab,Psychology,3.9,14 ratings,67%,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=539455
Barbara Chapman,Science,3.2,16 ratings,N/A,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=541134
Thomas Adams,Science,4.9,22 ratings,N/A,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=542549
Robert Blake,Spanish,4.5,14 ratings,100%,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=542579
Renee Spruce-Veatch,English,4.9,5 ratings,N/A,2.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=545045
Matthias Geiger,Art,3.8,8 ratings,N/A,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=545161
Gary Mitchell,Psychology,0,0 ratings,N/A,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=546032
Winder McConnell,Languages,4.2,27 ratings,N/A,1.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=548077
Jin Yi Qi,Biomedical,4.1,8 ratings,N/A,3.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=548857
Maxwell Chertok,Physics,2.6,17 ratings,100%,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=549293
Robert Sims,Mathematics,4.2,54 ratings,0%,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=549376
Jane Heinig,Nutrition,4.5,7 ratings,100%,1.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=549432
Zeian Zaatri,Anthropology,0,0 ratings,N/A,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=549635
Ileana Laberger,Anthropology,0,0 ratings,N/A,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=549649
Suzan Sawyer,Anthropology,2,2 ratings,N/A,1.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=549651
Juan Portillo,Spanish,4.1,9 ratings,N/A,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=549750
Nancy Morrow,English,4.8,8 ratings,N/A,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=550565
Alisa Braun,Judaic Studies,3.6,11 ratings,N/A,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=552515
William Lucas,Biological Sciences,2.4,11 ratings,N/A,4.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=553271
Bruce Susich,Management,4.8,30 ratings,N/A,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=553734
David Whitney,Psychology,4.7,98 ratings,100%,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=558964
Thomas Timar,Education,2.3,21 ratings,N/A,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=559232
Fei Shi,Comparative Literature,4.5,11 ratings,N/A,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=559539
Maya Ahmed,Mathematics,3.7,9 ratings,50%,4.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=560661
Shannon Hays,Comparative Literature,4.4,10 ratings,N/A,1.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=561017
Tonya Kuhl,Chemical Engineering,4,29 ratings,70%,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=561029
Patricia Conrad,Medicine,0,0 ratings,N/A,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=563439
Chris Van Kessel,Agriculture,3.5,5 ratings,N/A,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=566224
Eva Barela,Spanish,4.5,4 ratings,N/A,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=566589
Holly Liu,Economics,4,38 ratings,86%,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=566914
Jodi Nunnari,Biological Sciences,2.8,10 ratings,N/A,4.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=567129
John Roth,Microbiology,2.4,64 ratings,0%,3.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=568179
Rosamaria Tanghetti,History,4.1,7 ratings,N/A,3.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=568221
Bruce Donehower,English,3.4,17 ratings,N/A,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=569045
Nick Sanders,Economics,4.9,7 ratings,N/A,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=570235
David Traill,Classics,3.3,27 ratings,N/A,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=570723
Joan Meyers,Sociology,3.2,8 ratings,N/A,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=571417
Rick Pomeroy,Education,3.2,3 ratings,N/A,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=573394
Yue Mei Wu,Chinese,3.6,21 ratings,N/A,3.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=573809
Michael Lazzara,Spanish,4.6,21 ratings,100%,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=576322
Susan Durosko,English,4.4,8 ratings,N/A,1.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=576565
Mireille Gouirand,English,4.1,10 ratings,80%,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=576566
Sharman O'Neill,Biological Sciences,3.5,50 ratings,80%,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=576798
Albert Harrison,Psychology,0,0 ratings,N/A,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=577406
Mary Jackman,Sociology,3.2,46 ratings,N/A,4.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=578095
Michelle Stewart,Anthropology,3.9,4 ratings,N/A,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=578982
Ralph Pavey,Economics,4,3 ratings,N/A,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=580781
Jim Fadel,Animal Science,3.9,5 ratings,100%,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=580785
David Hwang,Engineering,1.6,13 ratings,0%,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=581311
Jenny Nadaner,Spanish,4.9,12 ratings,N/A,1.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=581576
John Conway,Physics,3.8,40 ratings,100%,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=582297
Robert Rice,Environmental Science,3.3,11 ratings,50%,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=583155
Jan Szaif,Philosophy,2.6,32 ratings,N/A,3.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=583426
Patricia Boeshaar,Physics,3.5,44 ratings,34%,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=583525
Patricia Harrison,Design,3.7,8 ratings,N/A,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=584634
Kristin Koster,Languages,4,5 ratings,N/A,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=585041
Susan Avila,Design,4.1,16 ratings,100%,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=585582
Shermain Hardesty,Agriculture,2.1,12 ratings,N/A,3.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=585763
Ross Boulanger,Engineering,4,7 ratings,0%,4.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=585885
Xin Liu,Computer Science,2.8,15 ratings,100%,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=586376
Ann Mastergeorge,Human Development,4,12 ratings,N/A,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=586631
Phillip Shaver,Psychology,4.1,21 ratings,0%,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=587002
Abdul Barakat,Engineering,3.3,13 ratings,N/A,3.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=587807
Sandra O'Brien,Languages,2.1,17 ratings,0%,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=587843
Paul Gumerlock,Biological Sciences,0,0 ratings,N/A,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=588078
Bryce Vinokurov,Art,4.5,29 ratings,100%,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=588363
Edwin Lewis,Entomology,4.2,25 ratings,N/A,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=588920
Kate Scow,Science,3.5,15 ratings,40%,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=589641
Rosalinda Salazar,English,3.6,34 ratings,0%,4.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=590463
Betty Lam,Electrical Engineering,0,0 ratings,N/A,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=591384
Paul Heckman,Education,4.7,4 ratings,100%,1.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=595437
Gry Barfod,Geology,3.7,13 ratings,N/A,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=596402
Alan Williamson,English,3.5,16 ratings,N/A,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=597563
Eric Cowgill,Geology,3.2,22 ratings,25%,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=598537
Sylvia Escarco,Anthropology,0,0 ratings,N/A,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=599906
Richard Green,Economics,3.5,34 ratings,63%,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=601971
Smitri Srinivas,Anthropology,3.9,32 ratings,86%,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=612485
Farshid Mojaver,Economics,3.2,66 ratings,50%,3.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=616470
Fred Block,Sociology,2.7,8 ratings,N/A,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=616554
Kristina Dekorsak,French,0,0 ratings,N/A,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=619184
Jeremy Appleman,Microbiology,3.5,121 ratings,N/A,4.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=620397
Daniel Sperling,Civil Engineering,3.6,8 ratings,50%,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=621608
John Terning,Physics,2,52 ratings,23%,3.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=622289
Joy Mench,Animal Science,4.8,2 ratings,N/A,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=624576
Ara Francis,Sociology,3.4,17 ratings,N/A,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=625568
Mikayla Hughes,Communication,2.8,27 ratings,N/A,3.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=626122
Janice Morand,Biological Sciences,4.5,10 ratings,100%,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=627119
Clara Van Zanten,English,4.4,14 ratings,N/A,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=630185
Heather Graham,Food Science,2.8,5 ratings,N/A,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=630744
James Shaffrath,Biological Sciences,4.8,99 ratings,93%,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=630818
Magdalena Vanya,Sociology,2.8,28 ratings,N/A,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=631285
Timm Grattet,Sociology,2.5,11 ratings,N/A,3.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=631287
Bruce Kutter,Engineering,2.7,13 ratings,0%,3.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=631965
Luz Mena,Women's Studies,3,20 ratings,N/A,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=631987
Charles Shoemaker,Food Science,3.7,52 ratings,50%,1.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=632111
Toby Allen,Chemistry,3.8,24 ratings,N/A,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=632343
Yannis Dafalias,Civil Engineering,3.1,14 ratings,N/A,3.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=632344
Sara Deleon,Learning Center,0,0 ratings,N/A,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=632355
Michael Kleeman,Civil Engineering,3,11 ratings,0%,3.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=632816
Eric Johnson,Economics,3.2,47 ratings,100%,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=633606
John Warner,Political Science,3.7,21 ratings,N/A,3.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=634367
Louis Segal,Social Science,2.9,10 ratings,N/A,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=635858
Allan Bellman,Education,3.8,8 ratings,N/A,3.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=636001
Vicky Smith,Sociology,3.5,16 ratings,N/A,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=636695
Vicki Montera,Education,2.9,5 ratings,N/A,2.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=637128
David Maa,Electrical Engineering,4,5 ratings,100%,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=637992
Jucheng Zhao,Mathematics,4.7,3 ratings,N/A,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=638923
Craig Warden,Biological Sciences,3.1,32 ratings,75%,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=639267
Sarah Ovink,Sociology,4.8,2 ratings,N/A,1.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=641563
Masha Boston,Comparative Literature,4.5,6 ratings,N/A,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=642347
Steve McNiel,Landscape Architecture & Regional Planning,2.9,11 ratings,N/A,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=642388
Earl McCulley,Landscape Architecture & Regional Planning,3.9,5 ratings,N/A,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=642389
Martin Wilson,Biological Sciences,4,5 ratings,N/A,2.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=644187
Eric Silva,Sociology,3.5,11 ratings,N/A,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=645030
Beth Slutsky,History,4,21 ratings,N/A,3.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=648251
Christopher Berg,Mathematics,3,16 ratings,N/A,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=648665
Pamela Sheehan,Mathematics,1.9,4 ratings,N/A,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=648842
Jodi Angel,English,4.5,18 ratings,N/A,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=650548
Cynthia Pickett,Psychology,3.6,82 ratings,45%,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=650773
Rebecca Parales,Microbiology,3.6,13 ratings,0%,4.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=652657
Gary B Anderson,Animal Science,0,0 ratings,N/A,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=654935
Steven Anderson,Medicine,0,0 ratings,N/A,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=654936
Linda Bisson,Agriculture,4.2,3 ratings,N/A,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=655679
Patrick Hession,Physics,1.8,11 ratings,N/A,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=655765
Jeff Becker,Political Science,3.1,4 ratings,N/A,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=657423
Hemant Bhargava,Management,3.6,7 ratings,N/A,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=658090
Nolan Zane,Psychology,3.7,66 ratings,0%,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=658847
Dana Goswick,Philosophy,3,6 ratings,N/A,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=661822
Martha West,Law,4.7,5 ratings,N/A,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=674031
Carlton Larson,Law,3.8,4 ratings,N/A,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=674034
Angela Onwuachi-Willig,Law,0,0 ratings,N/A,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=674061
Bruce Wolk,Law,0,0 ratings,N/A,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=674065
Thomas Joo,Law,3,5 ratings,N/A,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=674071
Jay Rosenheim,Entomology,4.3,117 ratings,81%,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=674362
Bob Kimsey,Entomology,3.8,16 ratings,100%,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=674378
Bruce Hammock,Entomology,0,0 ratings,N/A,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=674383
Jim Carey,Entomology,3.2,10 ratings,67%,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=674385
Rick Karban,Entomology,2.8,2 ratings,N/A,1.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=674386
Michael Parella,Agriculture,4.6,7 ratings,N/A,2.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=674395
Annabeth Rosen,Fine Arts,3.9,26 ratings,75%,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=677529
Mike Henderson,Fine Arts,4.4,8 ratings,N/A,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=677531
Jon Rossini,Theater,3.4,41 ratings,29%,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=677933
June Velasquez,Engineering,0,0 ratings,N/A,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=678402
Kenneth Verosub,Geology,3.7,60 ratings,25%,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=678817
David Webb,Physics,3.1,85 ratings,100%,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=678819
Simona Ghetti,Psychology,3.3,35 ratings,60%,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=680234
Glenda Drew,Fine Arts,4.4,19 ratings,100%,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=681210
David Hollowell,Fine Arts,3.8,21 ratings,N/A,2.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=681227
Seymour Howard,Art History,0,0 ratings,N/A,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=681242
Seth Schein,Literature,2.8,21 ratings,N/A,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=681250
Bob Ostertag,Humanities,2.3,7 ratings,100%,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=685781
Karen Gerhart,Biology,3.1,328 ratings,0%,3.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=689454
Craig Benham,Mathematics,2.3,91 ratings,87%,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=690718
William Mc Lean,Literature,4.1,4 ratings,N/A,1.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=691521
Liat Sayfan,Psychology,3,37 ratings,N/A,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=692953
Sanghamitra Niyogi,Sociology,3.5,50 ratings,N/A,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=693194
James Richard Wright,Physical Ed,4.8,9 ratings,100%,1.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=693579
Cornelis Van Dam,Mechanical Engineering,3.6,6 ratings,100%,3.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=693620
Satya Dandekar,Medicine,3.5,2 ratings,N/A,1.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=693923
Steve Routh,Political Science,4.5,23 ratings,100%,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=697171
Robert Rucker,Science,0,0 ratings,N/A,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=698240
Patricia Oteiza,Science,0,0 ratings,N/A,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=698242
Andrew Clifford,Science,1.9,8 ratings,N/A,4.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=698245
Alan Elms,Psychology,0,0 ratings,N/A,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=700692
Doug Larson,Managerial Science,2.8,43 ratings,22%,4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=701339
Jill Bakehorn,Sociology,3.7,45 ratings,0%,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=701469
Luis Guarnizo,Human Development,2.8,15 ratings,0%,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=702754
Janet L Papale,English,4.8,5 ratings,N/A,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=703029
Carlito Lebrilla,Chemistry,3,99 ratings,55%,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=709288
Rossio UN,Mathematics,0,0 ratings,N/A,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=710778
Rossio Usdsd,Mathematics,0,0 ratings,N/A,0,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=710779
Christopher Ngo,Political Science,4.8,3 ratings,N/A,1.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=711300
Robin Altman,Biological Sciences,3,2 ratings,N/A,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=714196
Bob Morgan,Design,4.8,2 ratings,N/A,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=715349
Victoria Rivers,Design,1.6,6 ratings,N/A,3.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=715352
Stephen Imai,Chemistry,3.9,29 ratings,75%,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=717062
Colin Milburn,English,4.6,40 ratings,80%,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=718052
Joe Holland,Engineering,5,1 ratings,100%,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=718176
