Name,Department,Rating,# of Ratings,% Would Take Again,Difficulty,Link to Page
Bob Becker,Science,4,46 ratings,100%,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=82075
Jay Mechling,Humanities,3.3,42 ratings,N/A,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=82078
Michael Smith,American Studies,4,31 ratings,0%,2.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=82340
Almerindo Ojeda,Linguistics,3.6,65 ratings,20%,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=83214
Gabriel Chandler,Mathematics,2.8,38 ratings,N/A,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=91538
Thomas Burr,Social Science,3.3,36 ratings,N/A,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=91539
Gayatri Gopinath,Women's Studies,4.3,25 ratings,N/A,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=91540
Terence Murphy,Science,3.9,69 ratings,100%,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=94838
Randee Pauvfe,Theater,3.7,5 ratings,N/A,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=95743
L Jay Helms,Economics,3.9,135 ratings,N/A,2.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=95866
Lynne Isbell,Anthropology,3.9,52 ratings,75%,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=98496
Kimberly Nettles,Social Science,3.1,39 ratings,25%,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=102090
Elizabeth Post,Psychology,4.1,124 ratings,N/A,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=102149
Stuart Hill,Political Science,3.8,123 ratings,N/A,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=103139
Geoff Schladow,Civil Engineering,4.1,11 ratings,N/A,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=104896
David Kyle,Social Science,3.5,98 ratings,58%,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=105307
Richard Spencer,Engineering,4.1,18 ratings,N/A,3.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=106917
Dina Okamoto,Sociology,3,28 ratings,N/A,3.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=107722
Steven Farmer,Science,4.7,106 ratings,N/A,2.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=109831
Chris Tromborg,Psychology,4.3,56 ratings,100%,2.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=112677
Andrés Reséndez,History,4.3,34 ratings,67%,2.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=113557
Clarence Major,English,3,30 ratings,N/A,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=114782
Ken Burtis,Science,4.8,7 ratings,100%,2.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=121161
Peter Armstrong,Science,3.2,10 ratings,N/A,4.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=122085
Richard West,Mathematics,4.7,39 ratings,N/A,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=122288
James Harding,Science,5,6 ratings,100%,3.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=123116
Tom Gradziel,Agriculture,4.4,15 ratings,100%,1.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=123122
Linda Egan,Languages,4.1,26 ratings,N/A,3.4,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=123507
"Y.P. ""Ed"" Mack",Mathematics,1.8,59 ratings,N/A,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=124867
Mark Sanders,Science,3.2,126 ratings,N/A,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=124884
"E.O. ""Jack"" Milton",Mathematics,2.7,67 ratings,N/A,4.2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=124988
Joe Kiskis,Science,3,39 ratings,N/A,4.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=124992
Tracey Johnson,Science,1.9,30 ratings,0%,3.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=125101
Donna Knifong,Communication,3.6,17 ratings,N/A,2.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=125265
Raju Pandey,Computer Science,4,18 ratings,N/A,3.9,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=125266
D. Kern Holoman,Music,3.7,86 ratings,100%,2.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=127944
Steven Sheffrin,Economics,3.9,25 ratings,N/A,3.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=127946
Naomi Janowitz,Religious Studies,3.2,64 ratings,83%,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=128364
Edward Depeters,Animal Science,4.3,27 ratings,100%,3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=129624
Tom Gordon,Science,4.7,92 ratings,100%,1.7,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=130621
Kathleen Ward,Linguistics,3.2,69 ratings,12%,3.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=134747
Venkatesh Akella,Computer Science,3,30 ratings,50%,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=138538
Catherine Puckering,Communication,4,89 ratings,N/A,2.8,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=138547
John Boe,English,4.4,120 ratings,N/A,2,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=139528
Evan Fletcher,Not Specified,4.8,14 ratings,N/A,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=140069
Scott Simmon,Film,4.1,16 ratings,N/A,2.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=141838
Robert Kimsey,Biology,3.4,75 ratings,72%,3.3,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=144936
Marilyn Whitney,Economics,4.2,83 ratings,100%,2.5,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=146245
Phillip Rogaway,Computer Science,4.1,46 ratings,50%,4.1,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=147992
Christopher Calvert,Animal Science,3.7,73 ratings,N/A,3.6,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=148157
